Product ID,avg_demand,avg_price,total_units_sold,avg_inventory,avg_discount,promo_rate,Category,Cluster,Interpretasi
P0001,109.59131578947368,37.22040263157895,356814,331.7586842105263,9.176315789473684,0.32894736842105265,Groceries,1,🟢 Produk Laris Ekonomis
P0002,112.06657894736843,42.71993421052632,359355,285.8307894736842,9.08421052631579,0.32894736842105265,Groceries,1,🟢 Produk Laris Ekonomis
P0003,103.99526315789474,76.3646394736842,341531,310.2636842105263,9.076315789473684,0.32894736842105265,Clothing,0,🟡 Produk Premium Lambat
P0004,115.39605263157895,45.307184210526316,377627,320.35,9.148684210526316,0.32894736842105265,Groceries,1,🟢 Produk Laris Ekonomis
P0005,107.52052631578947,50.74735789473684,351765,392.9042105263158,9.157894736842104,0.32894736842105265,Groceries,1,🟢 Produk Laris Ekonomis
P0006,107.72236842105264,46.914602631578944,344589,283.05842105263156,9.114473684210527,0.32894736842105265,Groceries,1,🟢 Produk Laris Ekonomis
P0007,115.02342105263158,35.674368421052634,379709,466.86,9.130263157894737,0.32894736842105265,Groceries,1,🟢 Produk Laris Ekonomis
P0008,104.3521052631579,67.06766052631579,323317,151.43131578947367,9.034210526315789,0.32894736842105265,Groceries,0,🟡 Produk Premium Lambat
P0009,118.50631578947369,83.0477394736842,376771,272.30368421052634,8.985526315789473,0.32894736842105265,Groceries,1,🟢 Produk Laris Ekonomis
P0010,111.06947368421052,66.4684,357299,310.5494736842105,9.164473684210526,0.32894736842105265,Groceries,1,🟢 Produk Laris Ekonomis
P0011,100.7278947368421,99.61621842105264,332883,345.63105263157894,9.019736842105264,0.32894736842105265,Electronics,0,🟡 Produk Premium Lambat
P0012,91.37236842105263,93.20393684210526,296256,289.8957894736842,9.035526315789474,0.32894736842105265,Electronics,0,🟡 Produk Premium Lambat
P0013,116.025,44.3033947368421,376717,382.65263157894736,9.089473684210526,0.32894736842105265,Groceries,1,🟢 Produk Laris Ekonomis
P0014,95.87763157894737,118.5982947368421,317397,339.9028947368421,9.088157894736842,0.32894736842105265,Furniture,0,🟡 Produk Premium Lambat
P0015,102.49157894736842,63.75340263157894,335443,340.9763157894737,9.131578947368421,0.32894736842105265,Groceries,1,🟢 Produk Laris Ekonomis
P0016,100.75631578947369,72.65626842105263,326718,289.9136842105263,9.082894736842105,0.32894736842105265,Clothing,0,🟡 Produk Premium Lambat
P0017,92.26842105263158,56.56215,294918,225.17368421052632,9.138157894736842,0.32894736842105265,Toys,0,🟡 Produk Premium Lambat
P0018,99.26447368421053,76.81973684210526,310597,185.83184210526315,9.1,0.32894736842105265,Clothing,0,🟡 Produk Premium Lambat
P0019,97.88263157894737,86.72367894736841,313209,212.48552631578949,8.965789473684211,0.32894736842105265,Clothing,0,🟡 Produk Premium Lambat
P0020,84.43342105263157,90.75117894736842,277961,283.48315789473685,9.017105263157895,0.32894736842105265,Furniture,0,🟡 Produk Premium Lambat
